,Dummy variable treshold,Ime podatkovne baze,Ime relacije,Latentni faktor,Objektni tip 1,Objektni tip 2,RMSE,St. ponovitve,Vzorcenje
704,1,avtomobilizem,avtomobil drzava,46,avtomobil,drzava,0.0315,0,True
705,1,avtomobilizem,avtomobil stranka,46,avtomobil,stranka,0.11942,0,True
706,1,avtomobilizem,avtomobil model,46,avtomobil,model,0.29889,0,True
707,1,avtomobilizem,model drzava,46,model,drzava,976.97383,0,True
708,0,avtomobilizem,lastnistvo stranka,15,lastnistvo,stranka,0.00121,3,True
709,0,avtomobilizem,lastnistvo avtomobil,15,lastnistvo,avtomobil,0.00526,3,True
710,0,avtomobilizem,avtomobil model,15,avtomobil,model,0.01293,3,True
711,0,avtomobilizem,avtomobil drzava,15,avtomobil,drzava,0.01969,3,True
712,0,avtomobilizem,avtomobil stranka,15,avtomobil,stranka,0.12934,3,True
713,0,avtomobilizem,model drzava,15,model,drzava,0.22504,3,True
714,0,avtomobilizem,lastnistvo stranka,38,lastnistvo,stranka,0.00042,3,True
715,0,avtomobilizem,lastnistvo avtomobil,38,lastnistvo,avtomobil,0.005,3,True
716,0,avtomobilizem,avtomobil stranka,38,avtomobil,stranka,0.12474,3,True
717,0,avtomobilizem,avtomobil drzava,38,avtomobil,drzava,0.16955,3,True
718,0,avtomobilizem,avtomobil model,38,avtomobil,model,0.27697,3,True
719,0,avtomobilizem,model drzava,38,model,drzava,233.07118,3,True
720,0,avtomobilizem,lastnistvo stranka,35,lastnistvo,stranka,0.00032,2,True
721,0,avtomobilizem,lastnistvo avtomobil,35,lastnistvo,avtomobil,0.00524,2,True
722,0,avtomobilizem,avtomobil drzava,35,avtomobil,drzava,0.0117,2,True
723,0,avtomobilizem,avtomobil model,35,avtomobil,model,0.01372,2,True
724,0,avtomobilizem,avtomobil stranka,35,avtomobil,stranka,0.129,2,True
725,0,avtomobilizem,model drzava,35,model,drzava,0.23325,2,True
726,1,avtomobilizem,lastnistvo stranka,6,lastnistvo,stranka,0.00244,0,True
727,1,avtomobilizem,lastnistvo avtomobil,6,lastnistvo,avtomobil,0.00519,0,True
728,1,avtomobilizem,avtomobil model,6,avtomobil,model,0.00992,0,True
729,1,avtomobilizem,avtomobil drzava,6,avtomobil,drzava,0.04485,0,True
730,1,avtomobilizem,avtomobil stranka,6,avtomobil,stranka,0.13052,0,True
731,1,avtomobilizem,model drzava,6,model,drzava,0.13871,0,True
732,2,avtomobilizem,lastnistvo stranka,22,lastnistvo,stranka,0.00116,0,True
733,2,avtomobilizem,lastnistvo avtomobil,22,lastnistvo,avtomobil,0.00514,0,True
734,2,avtomobilizem,avtomobil model,22,avtomobil,model,0.01457,0,True
735,2,avtomobilizem,avtomobil drzava,22,avtomobil,drzava,0.01937,0,True
736,2,avtomobilizem,avtomobil stranka,22,avtomobil,stranka,0.1269,0,True
737,2,avtomobilizem,model drzava,22,model,drzava,0.19095,0,True
738,0,avtomobilizem,lastnistvo stranka,42,lastnistvo,stranka,0.00055,3,True
739,0,avtomobilizem,lastnistvo avtomobil,42,lastnistvo,avtomobil,0.00438,3,True
740,0,avtomobilizem,avtomobil model,42,avtomobil,model,0.01065,3,True
741,0,avtomobilizem,avtomobil drzava,42,avtomobil,drzava,0.02322,3,True
742,0,avtomobilizem,avtomobil stranka,42,avtomobil,stranka,0.10848,3,True
743,0,avtomobilizem,model drzava,42,model,drzava,0.20116,3,True
744,2,avtomobilizem,lastnistvo stranka,17,lastnistvo,stranka,0.00145,2,True
745,2,avtomobilizem,lastnistvo avtomobil,17,lastnistvo,avtomobil,0.00521,2,True
746,2,avtomobilizem,avtomobil model,17,avtomobil,model,0.01488,2,True
747,2,avtomobilizem,avtomobil drzava,17,avtomobil,drzava,0.02443,2,True
748,2,avtomobilizem,avtomobil stranka,17,avtomobil,stranka,0.12792,2,True
749,2,avtomobilizem,model drzava,17,model,drzava,0.19154,2,True
750,0,avtomobilizem,lastnistvo stranka,15,lastnistvo,stranka,0.00349,4,True
751,0,avtomobilizem,lastnistvo avtomobil,15,lastnistvo,avtomobil,0.00527,4,True
752,0,avtomobilizem,avtomobil model,15,avtomobil,model,0.01282,4,True
753,0,avtomobilizem,avtomobil drzava,15,avtomobil,drzava,0.01933,4,True
754,0,avtomobilizem,avtomobil stranka,15,avtomobil,stranka,0.13288,4,True
755,0,avtomobilizem,model drzava,15,model,drzava,0.21848,4,True
756,1,avtomobilizem,lastnistvo stranka,12,lastnistvo,stranka,0.00233,2,True
757,1,avtomobilizem,lastnistvo avtomobil,12,lastnistvo,avtomobil,0.00526,2,True
758,1,avtomobilizem,avtomobil model,12,avtomobil,model,0.00987,2,True
759,1,avtomobilizem,avtomobil drzava,12,avtomobil,drzava,0.02416,2,True
760,1,avtomobilizem,model drzava,12,model,drzava,0.12407,2,True
761,1,avtomobilizem,avtomobil stranka,12,avtomobil,stranka,0.131,2,True
762,1,avtomobilizem,lastnistvo stranka,14,lastnistvo,stranka,0.0017,1,True
763,1,avtomobilizem,lastnistvo avtomobil,14,lastnistvo,avtomobil,0.00526,1,True
764,1,avtomobilizem,avtomobil model,14,avtomobil,model,0.00969,1,True
765,1,avtomobilizem,avtomobil drzava,14,avtomobil,drzava,0.02108,1,True
766,1,avtomobilizem,model drzava,14,model,drzava,0.11852,1,True
767,1,avtomobilizem,avtomobil stranka,14,avtomobil,stranka,0.13016,1,True
768,1,avtomobilizem,lastnistvo stranka,48,lastnistvo,stranka,0.00105,0,True
769,1,avtomobilizem,lastnistvo avtomobil,48,lastnistvo,avtomobil,0.00486,0,True
770,1,avtomobilizem,avtomobil model,48,avtomobil,model,0.00915,0,True
771,1,avtomobilizem,avtomobil drzava,48,avtomobil,drzava,0.00932,0,True
772,1,avtomobilizem,model drzava,48,model,drzava,0.11078,0,True
773,1,avtomobilizem,avtomobil stranka,48,avtomobil,stranka,0.12015,0,True
774,1,avtomobilizem,lastnistvo stranka,37,lastnistvo,stranka,0.00069,0,True
775,1,avtomobilizem,lastnistvo avtomobil,37,lastnistvo,avtomobil,0.00517,0,True
776,1,avtomobilizem,avtomobil model,37,avtomobil,model,0.01011,0,True
777,1,avtomobilizem,avtomobil drzava,37,avtomobil,drzava,0.01094,0,True
778,1,avtomobilizem,model drzava,37,model,drzava,0.12044,0,True
779,1,avtomobilizem,avtomobil stranka,37,avtomobil,stranka,0.12721,0,True
780,1,avtomobilizem,lastnistvo stranka,43,lastnistvo,stranka,0.00073,2,True
781,1,avtomobilizem,lastnistvo avtomobil,43,lastnistvo,avtomobil,0.00503,2,True
782,1,avtomobilizem,avtomobil model,43,avtomobil,model,0.09891,2,True
783,1,avtomobilizem,avtomobil drzava,43,avtomobil,drzava,0.10078,2,True
784,1,avtomobilizem,avtomobil stranka,43,avtomobil,stranka,0.12477,2,True
785,1,avtomobilizem,model drzava,43,model,drzava,1128.77633,2,True
786,0,avtomobilizem,lastnistvo stranka,24,lastnistvo,stranka,0.00078,2,True
787,0,avtomobilizem,lastnistvo avtomobil,24,lastnistvo,avtomobil,0.00525,2,True
788,0,avtomobilizem,avtomobil model,24,avtomobil,model,0.01282,2,True
789,0,avtomobilizem,avtomobil drzava,24,avtomobil,drzava,0.01369,2,True
790,0,avtomobilizem,avtomobil stranka,24,avtomobil,stranka,0.12918,2,True
791,0,avtomobilizem,model drzava,24,model,drzava,0.26974,2,True
792,2,avtomobilizem,lastnistvo stranka,5,lastnistvo,stranka,0.00298,2,True
793,2,avtomobilizem,lastnistvo avtomobil,5,lastnistvo,avtomobil,0.00511,2,True
794,2,avtomobilizem,avtomobil model,5,avtomobil,model,0.01425,2,True
795,2,avtomobilizem,avtomobil drzava,5,avtomobil,drzava,0.05433,2,True
796,2,avtomobilizem,avtomobil stranka,5,avtomobil,stranka,0.13104,2,True
797,2,avtomobilizem,model drzava,5,model,drzava,0.20474,2,True
798,1,avtomobilizem,lastnistvo stranka,19,lastnistvo,stranka,0.00095,1,True
799,1,avtomobilizem,lastnistvo avtomobil,19,lastnistvo,avtomobil,0.00525,1,True
800,1,avtomobilizem,avtomobil model,19,avtomobil,model,0.00987,1,True
801,1,avtomobilizem,avtomobil drzava,19,avtomobil,drzava,0.01668,1,True
802,1,avtomobilizem,model drzava,19,model,drzava,0.1209,1,True
803,1,avtomobilizem,avtomobil stranka,19,avtomobil,stranka,0.12919,1,True
804,0,avtomobilizem,lastnistvo stranka,21,lastnistvo,stranka,0.00062,0,True
805,0,avtomobilizem,lastnistvo avtomobil,21,lastnistvo,avtomobil,0.00497,0,True
806,0,avtomobilizem,avtomobil model,21,avtomobil,model,0.0134,0,True
807,0,avtomobilizem,avtomobil drzava,21,avtomobil,drzava,0.01467,0,True
808,0,avtomobilizem,avtomobil stranka,21,avtomobil,stranka,0.1274,0,True
809,0,avtomobilizem,model drzava,21,model,drzava,0.2172,0,True
810,2,avtomobilizem,lastnistvo avtomobil,11,lastnistvo,avtomobil,0.0068,3,True
811,2,avtomobilizem,avtomobil model,11,avtomobil,model,0.01638,3,True
812,2,avtomobilizem,lastnistvo stranka,11,lastnistvo,stranka,0.02627,3,True
813,2,avtomobilizem,avtomobil drzava,11,avtomobil,drzava,0.03154,3,True
814,2,avtomobilizem,avtomobil stranka,11,avtomobil,stranka,0.1421,3,True
815,2,avtomobilizem,model drzava,11,model,drzava,0.19634,3,True
816,1,avtomobilizem,lastnistvo stranka,35,lastnistvo,stranka,0.00087,4,True
817,1,avtomobilizem,lastnistvo avtomobil,35,lastnistvo,avtomobil,0.00502,4,True
818,1,avtomobilizem,avtomobil model,35,avtomobil,model,0.0578,4,True
819,1,avtomobilizem,avtomobil drzava,35,avtomobil,drzava,0.11064,4,True
820,1,avtomobilizem,avtomobil stranka,35,avtomobil,stranka,0.12367,4,True
821,1,avtomobilizem,model drzava,35,model,drzava,101.58155,4,True
822,0,avtomobilizem,lastnistvo avtomobil,1,lastnistvo,avtomobil,0.00273,4,True
823,0,avtomobilizem,avtomobil model,1,avtomobil,model,0.00676,4,True
824,0,avtomobilizem,lastnistvo stranka,1,lastnistvo,stranka,0.00846,4,True
825,0,avtomobilizem,avtomobil stranka,1,avtomobil,stranka,0.1411,4,True
826,0,avtomobilizem,avtomobil drzava,1,avtomobil,drzava,0.17922,4,True
827,0,avtomobilizem,model drzava,1,model,drzava,0.25202,4,True
828,0,avtomobilizem,lastnistvo stranka,5,lastnistvo,stranka,0.00164,3,True
829,0,avtomobilizem,lastnistvo avtomobil,5,lastnistvo,avtomobil,0.0051,3,True
830,0,avtomobilizem,avtomobil model,5,avtomobil,model,0.01327,3,True
831,0,avtomobilizem,avtomobil drzava,5,avtomobil,drzava,0.05212,3,True
832,0,avtomobilizem,avtomobil stranka,5,avtomobil,stranka,0.12948,3,True
833,0,avtomobilizem,model drzava,5,model,drzava,0.23495,3,True
834,2,avtomobilizem,lastnistvo stranka,9,lastnistvo,stranka,0.00258,4,True
835,2,avtomobilizem,lastnistvo avtomobil,9,lastnistvo,avtomobil,0.00521,4,True
836,2,avtomobilizem,avtomobil model,9,avtomobil,model,0.01463,4,True
837,2,avtomobilizem,avtomobil drzava,9,avtomobil,drzava,0.03439,4,True
838,2,avtomobilizem,avtomobil stranka,9,avtomobil,stranka,0.13,4,True
839,2,avtomobilizem,model drzava,9,model,drzava,0.19833,4,True
840,2,avtomobilizem,lastnistvo stranka,4,lastnistvo,stranka,0.00356,4,True
841,2,avtomobilizem,lastnistvo avtomobil,4,lastnistvo,avtomobil,0.00511,4,True
842,2,avtomobilizem,avtomobil model,4,avtomobil,model,0.01388,4,True
843,2,avtomobilizem,avtomobil drzava,4,avtomobil,drzava,0.06484,4,True
844,2,avtomobilizem,avtomobil stranka,4,avtomobil,stranka,0.13089,4,True
845,2,avtomobilizem,model drzava,4,model,drzava,0.20866,4,True
846,2,avtomobilizem,lastnistvo stranka,21,lastnistvo,stranka,0.00174,1,True
847,2,avtomobilizem,lastnistvo avtomobil,21,lastnistvo,avtomobil,0.00541,1,True
848,2,avtomobilizem,avtomobil model,21,avtomobil,model,0.01548,1,True
849,2,avtomobilizem,avtomobil drzava,21,avtomobil,drzava,0.01904,1,True
850,2,avtomobilizem,avtomobil stranka,21,avtomobil,stranka,0.1273,1,True
851,2,avtomobilizem,model drzava,21,model,drzava,0.18988,1,True
852,2,avtomobilizem,lastnistvo stranka,16,lastnistvo,stranka,0.00153,3,True
853,2,avtomobilizem,lastnistvo avtomobil,16,lastnistvo,avtomobil,0.0052,3,True
854,2,avtomobilizem,avtomobil model,16,avtomobil,model,0.01452,3,True
855,2,avtomobilizem,avtomobil drzava,16,avtomobil,drzava,0.02241,3,True
856,2,avtomobilizem,avtomobil stranka,16,avtomobil,stranka,0.12892,3,True
857,2,avtomobilizem,model drzava,16,model,drzava,0.18985,3,True
858,0,avtomobilizem,lastnistvo stranka,16,lastnistvo,stranka,0.0025,3,True
859,0,avtomobilizem,lastnistvo avtomobil,16,lastnistvo,avtomobil,0.005,3,True
860,0,avtomobilizem,avtomobil model,16,avtomobil,model,0.01359,3,True
861,0,avtomobilizem,avtomobil drzava,16,avtomobil,drzava,0.01878,3,True
862,0,avtomobilizem,avtomobil stranka,16,avtomobil,stranka,0.12715,3,True
863,0,avtomobilizem,model drzava,16,model,drzava,0.23338,3,True
864,0,avtomobilizem,lastnistvo stranka,4,lastnistvo,stranka,0.00178,0,True
865,0,avtomobilizem,lastnistvo avtomobil,4,lastnistvo,avtomobil,0.00494,0,True
866,0,avtomobilizem,avtomobil model,4,avtomobil,model,0.01282,0,True
867,0,avtomobilizem,avtomobil drzava,4,avtomobil,drzava,0.06298,0,True
868,0,avtomobilizem,avtomobil stranka,4,avtomobil,stranka,0.12964,0,True
869,0,avtomobilizem,model drzava,4,model,drzava,0.23587,0,True
870,0,avtomobilizem,lastnistvo avtomobil,1,lastnistvo,avtomobil,0.00273,2,True
871,0,avtomobilizem,lastnistvo stranka,1,lastnistvo,stranka,0.00534,2,True
872,0,avtomobilizem,avtomobil model,1,avtomobil,model,0.00677,2,True
873,0,avtomobilizem,avtomobil stranka,1,avtomobil,stranka,0.13887,2,True
874,0,avtomobilizem,avtomobil drzava,1,avtomobil,drzava,0.17922,2,True
875,0,avtomobilizem,model drzava,1,model,drzava,0.25202,2,True
876,1,avtomobilizem,lastnistvo stranka,29,lastnistvo,stranka,0.00079,1,True
877,1,avtomobilizem,lastnistvo avtomobil,29,lastnistvo,avtomobil,0.00516,1,True
878,1,avtomobilizem,avtomobil model,29,avtomobil,model,0.00981,1,True
879,1,avtomobilizem,avtomobil drzava,29,avtomobil,drzava,0.01251,1,True
880,1,avtomobilizem,model drzava,29,model,drzava,0.12058,1,True
881,1,avtomobilizem,avtomobil stranka,29,avtomobil,stranka,0.12796,1,True
882,2,avtomobilizem,lastnistvo stranka,10,lastnistvo,stranka,0.00176,0,True
883,2,avtomobilizem,lastnistvo avtomobil,10,lastnistvo,avtomobil,0.00525,0,True
884,2,avtomobilizem,avtomobil model,10,avtomobil,model,0.02717,0,True
885,2,avtomobilizem,avtomobil drzava,10,avtomobil,drzava,0.03956,0,True
886,2,avtomobilizem,avtomobil stranka,10,avtomobil,stranka,0.12972,0,True
887,2,avtomobilizem,model drzava,10,model,drzava,0.23599,0,True
888,0,avtomobilizem,lastnistvo stranka,43,lastnistvo,stranka,0.00216,2,True
889,0,avtomobilizem,lastnistvo avtomobil,43,lastnistvo,avtomobil,0.00491,2,True
890,0,avtomobilizem,avtomobil model,43,avtomobil,model,0.03841,2,True
891,0,avtomobilizem,avtomobil drzava,43,avtomobil,drzava,0.04631,2,True
892,0,avtomobilizem,avtomobil stranka,43,avtomobil,stranka,0.12482,2,True
893,0,avtomobilizem,model drzava,43,model,drzava,41.13867,2,True
894,0,avtomobilizem,lastnistvo stranka,24,lastnistvo,stranka,0.00288,1,True
895,0,avtomobilizem,lastnistvo avtomobil,24,lastnistvo,avtomobil,0.00529,1,True
896,0,avtomobilizem,avtomobil model,24,avtomobil,model,0.01386,1,True
897,0,avtomobilizem,avtomobil drzava,24,avtomobil,drzava,0.01416,1,True
898,0,avtomobilizem,avtomobil stranka,24,avtomobil,stranka,0.13248,1,True
899,0,avtomobilizem,model drzava,24,model,drzava,0.23327,1,True
900,0,avtomobilizem,lastnistvo stranka,28,lastnistvo,stranka,0.00151,1,True
901,0,avtomobilizem,lastnistvo avtomobil,28,lastnistvo,avtomobil,0.00527,1,True
902,0,avtomobilizem,avtomobil drzava,28,avtomobil,drzava,0.01226,1,True
903,0,avtomobilizem,avtomobil model,28,avtomobil,model,0.01288,1,True
904,0,avtomobilizem,avtomobil stranka,28,avtomobil,stranka,0.12942,1,True
905,0,avtomobilizem,model drzava,28,model,drzava,0.21074,1,True
906,2,avtomobilizem,lastnistvo avtomobil,1,lastnistvo,avtomobil,0.00273,0,True
907,2,avtomobilizem,lastnistvo stranka,1,lastnistvo,stranka,0.00576,0,True
908,2,avtomobilizem,avtomobil model,1,avtomobil,model,0.00731,0,True
909,2,avtomobilizem,avtomobil stranka,1,avtomobil,stranka,0.13929,0,True
910,2,avtomobilizem,avtomobil drzava,1,avtomobil,drzava,0.18686,0,True
911,2,avtomobilizem,model drzava,1,model,drzava,0.25279,0,True
912,0,avtomobilizem,lastnistvo stranka,35,lastnistvo,stranka,0.00072,0,True
913,0,avtomobilizem,lastnistvo avtomobil,35,lastnistvo,avtomobil,0.00526,0,True
914,0,avtomobilizem,avtomobil drzava,35,avtomobil,drzava,0.01219,0,True
915,0,avtomobilizem,avtomobil model,35,avtomobil,model,0.01291,0,True
916,0,avtomobilizem,avtomobil stranka,35,avtomobil,stranka,0.12914,0,True
917,0,avtomobilizem,model drzava,35,model,drzava,0.59881,0,True
918,0,avtomobilizem,lastnistvo stranka,48,lastnistvo,stranka,0.00032,2,True
919,0,avtomobilizem,lastnistvo avtomobil,48,lastnistvo,avtomobil,0.00524,2,True
920,0,avtomobilizem,avtomobil drzava,48,avtomobil,drzava,0.00994,2,True
921,0,avtomobilizem,avtomobil model,48,avtomobil,model,0.0121,2,True
922,0,avtomobilizem,avtomobil stranka,48,avtomobil,stranka,0.129,2,True
923,0,avtomobilizem,model drzava,48,model,drzava,0.20492,2,True
924,1,avtomobilizem,lastnistvo stranka,13,lastnistvo,stranka,0.00212,4,True
925,1,avtomobilizem,lastnistvo avtomobil,13,lastnistvo,avtomobil,0.00527,4,True
926,1,avtomobilizem,avtomobil model,13,avtomobil,model,0.01009,4,True
927,1,avtomobilizem,avtomobil drzava,13,avtomobil,drzava,0.02283,4,True
928,1,avtomobilizem,model drzava,13,model,drzava,0.12726,4,True
929,1,avtomobilizem,avtomobil stranka,13,avtomobil,stranka,0.13035,4,True
930,1,avtomobilizem,lastnistvo stranka,41,lastnistvo,stranka,0.00028,4,True
931,1,avtomobilizem,lastnistvo avtomobil,41,lastnistvo,avtomobil,0.00501,4,True
932,1,avtomobilizem,avtomobil stranka,41,avtomobil,stranka,0.12401,4,True
933,1,avtomobilizem,avtomobil model,41,avtomobil,model,1.90801,4,True
934,1,avtomobilizem,avtomobil drzava,41,avtomobil,drzava,3.84972,4,True
935,1,avtomobilizem,model drzava,41,model,drzava,107856.15933,4,True
936,0,avtomobilizem,lastnistvo stranka,42,lastnistvo,stranka,0.0007,2,True
937,0,avtomobilizem,lastnistvo avtomobil,42,lastnistvo,avtomobil,0.00525,2,True
938,0,avtomobilizem,avtomobil drzava,42,avtomobil,drzava,0.01059,2,True
939,0,avtomobilizem,avtomobil model,42,avtomobil,model,0.01374,2,True
940,0,avtomobilizem,avtomobil stranka,42,avtomobil,stranka,0.12912,2,True
941,0,avtomobilizem,model drzava,42,model,drzava,0.23321,2,True
942,1,avtomobilizem,lastnistvo stranka,13,lastnistvo,stranka,0.00126,1,True
943,1,avtomobilizem,lastnistvo avtomobil,13,lastnistvo,avtomobil,0.00525,1,True
944,1,avtomobilizem,avtomobil model,13,avtomobil,model,0.01008,1,True
945,1,avtomobilizem,avtomobil drzava,13,avtomobil,drzava,0.02283,1,True
946,1,avtomobilizem,model drzava,13,model,drzava,0.12726,1,True
947,1,avtomobilizem,avtomobil stranka,13,avtomobil,stranka,0.12924,1,True
948,2,avtomobilizem,lastnistvo stranka,20,lastnistvo,stranka,0.00124,1,True
949,2,avtomobilizem,lastnistvo avtomobil,20,lastnistvo,avtomobil,0.00511,1,True
950,2,avtomobilizem,avtomobil model,20,avtomobil,model,0.01446,1,True
951,2,avtomobilizem,avtomobil drzava,20,avtomobil,drzava,0.01972,1,True
952,2,avtomobilizem,avtomobil stranka,20,avtomobil,stranka,0.1263,1,True
953,2,avtomobilizem,model drzava,20,model,drzava,0.18929,1,True
954,0,avtomobilizem,lastnistvo stranka,19,lastnistvo,stranka,0.00287,1,True
955,0,avtomobilizem,lastnistvo avtomobil,19,lastnistvo,avtomobil,0.0047,1,True
956,0,avtomobilizem,avtomobil model,19,avtomobil,model,0.01348,1,True
957,0,avtomobilizem,avtomobil drzava,19,avtomobil,drzava,0.0155,1,True
958,0,avtomobilizem,avtomobil stranka,19,avtomobil,stranka,0.11984,1,True
959,0,avtomobilizem,model drzava,19,model,drzava,0.22022,1,True
960,2,avtomobilizem,lastnistvo stranka,3,lastnistvo,stranka,0.00331,0,True
961,2,avtomobilizem,lastnistvo avtomobil,3,lastnistvo,avtomobil,0.00465,0,True
962,2,avtomobilizem,avtomobil model,3,avtomobil,model,0.01287,0,True
963,2,avtomobilizem,avtomobil drzava,3,avtomobil,drzava,0.08145,0,True
964,2,avtomobilizem,avtomobil stranka,3,avtomobil,stranka,0.131,0,True
965,2,avtomobilizem,model drzava,3,model,drzava,0.21472,0,True
966,0,avtomobilizem,lastnistvo stranka,41,lastnistvo,stranka,0.00056,2,True
967,0,avtomobilizem,lastnistvo avtomobil,41,lastnistvo,avtomobil,0.00501,2,True
968,0,avtomobilizem,avtomobil model,41,avtomobil,model,0.05241,2,True
969,0,avtomobilizem,avtomobil stranka,41,avtomobil,stranka,0.12395,2,True
970,0,avtomobilizem,avtomobil drzava,41,avtomobil,drzava,0.25036,2,True
971,0,avtomobilizem,model drzava,41,model,drzava,69.64168,2,True
972,0,avtomobilizem,lastnistvo stranka,38,lastnistvo,stranka,0.00319,4,True
973,0,avtomobilizem,lastnistvo avtomobil,38,lastnistvo,avtomobil,0.00473,4,True
974,0,avtomobilizem,avtomobil drzava,38,avtomobil,drzava,0.06273,4,True
975,0,avtomobilizem,avtomobil model,38,avtomobil,model,0.07854,4,True
976,0,avtomobilizem,avtomobil stranka,38,avtomobil,stranka,0.14289,4,True
977,0,avtomobilizem,model drzava,38,model,drzava,0.21519,4,True
978,1,avtomobilizem,lastnistvo stranka,43,lastnistvo,stranka,0.0004,0,True
979,1,avtomobilizem,lastnistvo avtomobil,43,lastnistvo,avtomobil,0.00509,0,True
980,1,avtomobilizem,avtomobil model,43,avtomobil,model,0.0098,0,True
981,1,avtomobilizem,avtomobil drzava,43,avtomobil,drzava,0.011,0,True
982,1,avtomobilizem,model drzava,43,model,drzava,0.11539,0,True
983,1,avtomobilizem,avtomobil stranka,43,avtomobil,stranka,0.12317,0,True
984,1,avtomobilizem,lastnistvo stranka,4,lastnistvo,stranka,0.003,4,True
985,1,avtomobilizem,lastnistvo avtomobil,4,lastnistvo,avtomobil,0.00495,4,True
986,1,avtomobilizem,avtomobil model,4,avtomobil,model,0.00943,4,True
987,1,avtomobilizem,avtomobil drzava,4,avtomobil,drzava,0.064,4,True
988,1,avtomobilizem,avtomobil stranka,4,avtomobil,stranka,0.13066,4,True
989,1,avtomobilizem,model drzava,4,model,drzava,0.14868,4,True
990,1,avtomobilizem,lastnistvo stranka,20,lastnistvo,stranka,0.00207,2,True
991,1,avtomobilizem,lastnistvo avtomobil,20,lastnistvo,avtomobil,0.00519,2,True
992,1,avtomobilizem,avtomobil model,20,avtomobil,model,0.01,2,True
993,1,avtomobilizem,avtomobil drzava,20,avtomobil,drzava,0.01598,2,True
994,1,avtomobilizem,model drzava,20,model,drzava,0.12339,2,True
995,1,avtomobilizem,avtomobil stranka,20,avtomobil,stranka,0.12965,2,True
996,1,avtomobilizem,lastnistvo stranka,34,lastnistvo,stranka,0.00039,0,True
997,1,avtomobilizem,lastnistvo avtomobil,34,lastnistvo,avtomobil,0.0051,0,True
998,1,avtomobilizem,avtomobil stranka,34,avtomobil,stranka,0.12543,0,True
999,1,avtomobilizem,avtomobil drzava,34,avtomobil,drzava,0.13103,0,True
1000,1,avtomobilizem,avtomobil model,34,avtomobil,model,0.20413,0,True
1001,1,avtomobilizem,model drzava,34,model,drzava,398.64109,0,True
1002,0,avtomobilizem,lastnistvo stranka,47,lastnistvo,stranka,0.00033,2,True
1003,0,avtomobilizem,lastnistvo avtomobil,47,lastnistvo,avtomobil,0.00469,2,True
1004,0,avtomobilizem,avtomobil drzava,47,avtomobil,drzava,0.0093,2,True
1005,0,avtomobilizem,avtomobil model,47,avtomobil,model,0.01373,2,True
1006,0,avtomobilizem,avtomobil stranka,47,avtomobil,stranka,0.11642,2,True
1007,0,avtomobilizem,model drzava,47,model,drzava,0.23313,2,True
1008,0,avtomobilizem,lastnistvo avtomobil,1,lastnistvo,avtomobil,0.00273,0,True
1009,0,avtomobilizem,avtomobil model,1,avtomobil,model,0.00676,0,True
1010,0,avtomobilizem,lastnistvo stranka,1,lastnistvo,stranka,0.00935,0,True
1011,0,avtomobilizem,avtomobil stranka,1,avtomobil,stranka,0.14035,0,True
1012,0,avtomobilizem,avtomobil drzava,1,avtomobil,drzava,0.17922,0,True
1013,0,avtomobilizem,model drzava,1,model,drzava,0.25202,0,True
1014,0,avtomobilizem,lastnistvo stranka,32,lastnistvo,stranka,0.00084,1,True
1015,0,avtomobilizem,lastnistvo avtomobil,32,lastnistvo,avtomobil,0.00493,1,True
1016,0,avtomobilizem,avtomobil drzava,32,avtomobil,drzava,0.01149,1,True
1017,0,avtomobilizem,avtomobil model,32,avtomobil,model,0.01251,1,True
1018,0,avtomobilizem,avtomobil stranka,32,avtomobil,stranka,0.1218,1,True
1019,0,avtomobilizem,model drzava,32,model,drzava,0.22011,1,True
1020,1,avtomobilizem,lastnistvo stranka,12,lastnistvo,stranka,0.00127,0,True
1021,1,avtomobilizem,lastnistvo avtomobil,12,lastnistvo,avtomobil,0.00525,0,True
1022,1,avtomobilizem,avtomobil model,12,avtomobil,model,0.00988,0,True
1023,1,avtomobilizem,avtomobil drzava,12,avtomobil,drzava,0.02438,0,True
1024,1,avtomobilizem,model drzava,12,model,drzava,0.12688,0,True
1025,1,avtomobilizem,avtomobil stranka,12,avtomobil,stranka,0.12926,0,True
1026,0,avtomobilizem,lastnistvo stranka,17,lastnistvo,stranka,0.00035,2,True
1027,0,avtomobilizem,lastnistvo avtomobil,17,lastnistvo,avtomobil,0.00493,2,True
1028,0,avtomobilizem,avtomobil model,17,avtomobil,model,0.01352,2,True
1029,0,avtomobilizem,avtomobil drzava,17,avtomobil,drzava,0.01848,2,True
1030,0,avtomobilizem,avtomobil stranka,17,avtomobil,stranka,0.12137,2,True
1031,0,avtomobilizem,model drzava,17,model,drzava,0.23339,2,True
1032,0,avtomobilizem,lastnistvo stranka,15,lastnistvo,stranka,0.00118,2,True
1033,0,avtomobilizem,lastnistvo avtomobil,15,lastnistvo,avtomobil,0.00525,2,True
1034,0,avtomobilizem,avtomobil model,15,avtomobil,model,0.01373,2,True
1035,0,avtomobilizem,avtomobil drzava,15,avtomobil,drzava,0.02051,2,True
1036,0,avtomobilizem,avtomobil stranka,15,avtomobil,stranka,0.12916,2,True
1037,0,avtomobilizem,model drzava,15,model,drzava,0.23343,2,True
1038,1,avtomobilizem,lastnistvo stranka,8,lastnistvo,stranka,0.00288,1,True
1039,1,avtomobilizem,lastnistvo avtomobil,8,lastnistvo,avtomobil,0.00525,1,True
