,Dummy variable treshold,Ime podatkovne baze,Ime relacije,Latentni faktor,Objektni tip 1,Objektni tip 2,RMSE,St. ponovitve,Vzorcenje
65,1,avtomobilizem,model drzava,29,model,drzava,0.15019,4,True
66,0,avtomobilizem,lastnistvo stranka,36,lastnistvo,stranka,7e-05,1,True
67,0,avtomobilizem,lastnistvo avtomobil,36,lastnistvo,avtomobil,0.00491,1,True
68,0,avtomobilizem,avtomobil drzava,36,avtomobil,drzava,0.0108,1,True
69,0,avtomobilizem,avtomobil model,36,avtomobil,model,0.01256,1,True
70,0,avtomobilizem,avtomobil stranka,36,avtomobil,stranka,0.1209,1,True
71,0,avtomobilizem,model drzava,36,model,drzava,0.2201,1,True
72,1,avtomobilizem,lastnistvo stranka,18,lastnistvo,stranka,0.00216,3,True
73,1,avtomobilizem,lastnistvo avtomobil,18,lastnistvo,avtomobil,0.00556,3,True
74,1,avtomobilizem,avtomobil model,18,avtomobil,model,0.01021,3,True
75,1,avtomobilizem,avtomobil drzava,18,avtomobil,drzava,0.01722,3,True
76,1,avtomobilizem,model drzava,18,model,drzava,0.12437,3,True
77,1,avtomobilizem,avtomobil stranka,18,avtomobil,stranka,0.13091,3,True
78,0,avtomobilizem,lastnistvo stranka,13,lastnistvo,stranka,0.00136,2,True
79,0,avtomobilizem,lastnistvo avtomobil,13,lastnistvo,avtomobil,0.00525,2,True
80,0,avtomobilizem,avtomobil model,13,avtomobil,model,0.01373,2,True
81,0,avtomobilizem,avtomobil drzava,13,avtomobil,drzava,0.02302,2,True
82,0,avtomobilizem,avtomobil stranka,13,avtomobil,stranka,0.1292,2,True
83,0,avtomobilizem,model drzava,13,model,drzava,0.23349,2,True
84,2,avtomobilizem,lastnistvo stranka,18,lastnistvo,stranka,0.00156,0,True
85,2,avtomobilizem,lastnistvo avtomobil,18,lastnistvo,avtomobil,0.00524,0,True
86,2,avtomobilizem,avtomobil model,18,avtomobil,model,0.0164,0,True
87,2,avtomobilizem,avtomobil drzava,18,avtomobil,drzava,0.02102,0,True
88,2,avtomobilizem,avtomobil stranka,18,avtomobil,stranka,0.1351,0,True
89,2,avtomobilizem,model drzava,18,model,drzava,0.19106,0,True
90,1,avtomobilizem,lastnistvo stranka,22,lastnistvo,stranka,0.00052,3,True
91,1,avtomobilizem,lastnistvo avtomobil,22,lastnistvo,avtomobil,0.00513,3,True
92,1,avtomobilizem,avtomobil model,22,avtomobil,model,0.01112,3,True
93,1,avtomobilizem,avtomobil drzava,22,avtomobil,drzava,0.01707,3,True
94,1,avtomobilizem,model drzava,22,model,drzava,0.12181,3,True
95,1,avtomobilizem,avtomobil stranka,22,avtomobil,stranka,0.12602,3,True
96,0,avtomobilizem,lastnistvo stranka,28,lastnistvo,stranka,0.00046,3,True
97,0,avtomobilizem,lastnistvo avtomobil,28,lastnistvo,avtomobil,0.00493,3,True
98,0,avtomobilizem,avtomobil drzava,28,avtomobil,drzava,0.01279,3,True
99,0,avtomobilizem,avtomobil model,28,avtomobil,model,0.01342,3,True
100,0,avtomobilizem,avtomobil stranka,28,avtomobil,stranka,0.12159,3,True
101,0,avtomobilizem,model drzava,28,model,drzava,0.22016,3,True
102,1,avtomobilizem,lastnistvo stranka,23,lastnistvo,stranka,0.00084,1,True
103,1,avtomobilizem,lastnistvo avtomobil,23,lastnistvo,avtomobil,0.0052,1,True
104,1,avtomobilizem,avtomobil model,23,avtomobil,model,0.01081,1,True
105,1,avtomobilizem,avtomobil drzava,23,avtomobil,drzava,0.01458,1,True
106,1,avtomobilizem,model drzava,23,model,drzava,0.11776,1,True
107,1,avtomobilizem,avtomobil stranka,23,avtomobil,stranka,0.12796,1,True
108,0,avtomobilizem,lastnistvo stranka,40,lastnistvo,stranka,0.00024,1,True
109,0,avtomobilizem,lastnistvo avtomobil,40,lastnistvo,avtomobil,0.00493,1,True
110,0,avtomobilizem,avtomobil model,40,avtomobil,model,0.01086,1,True
111,0,avtomobilizem,avtomobil stranka,40,avtomobil,stranka,0.12107,1,True
112,0,avtomobilizem,model drzava,40,model,drzava,0.19171,1,True
113,0,avtomobilizem,avtomobil drzava,40,avtomobil,drzava,0.33678,1,True
114,0,avtomobilizem,lastnistvo stranka,29,lastnistvo,stranka,0.00057,1,True
115,0,avtomobilizem,lastnistvo avtomobil,29,lastnistvo,avtomobil,0.005,1,True
116,0,avtomobilizem,avtomobil drzava,29,avtomobil,drzava,0.01281,1,True
117,0,avtomobilizem,avtomobil model,29,avtomobil,model,0.01357,1,True
118,0,avtomobilizem,avtomobil stranka,29,avtomobil,stranka,0.12397,1,True
119,0,avtomobilizem,model drzava,29,model,drzava,0.23327,1,True
120,0,avtomobilizem,lastnistvo stranka,34,lastnistvo,stranka,0.00076,1,True
121,0,avtomobilizem,lastnistvo avtomobil,34,lastnistvo,avtomobil,0.00476,1,True
122,0,avtomobilizem,avtomobil model,34,avtomobil,model,0.02295,1,True
123,0,avtomobilizem,avtomobil drzava,34,avtomobil,drzava,0.10956,1,True
124,0,avtomobilizem,avtomobil stranka,34,avtomobil,stranka,0.11534,1,True
125,0,avtomobilizem,model drzava,34,model,drzava,0.20204,1,True
126,2,avtomobilizem,lastnistvo stranka,8,lastnistvo,stranka,0.00205,2,True
127,2,avtomobilizem,lastnistvo avtomobil,8,lastnistvo,avtomobil,0.00525,2,True
128,2,avtomobilizem,avtomobil model,8,avtomobil,model,0.01474,2,True
129,2,avtomobilizem,avtomobil drzava,8,avtomobil,drzava,0.03742,2,True
130,2,avtomobilizem,avtomobil stranka,8,avtomobil,stranka,0.13013,2,True
131,2,avtomobilizem,model drzava,8,model,drzava,0.19984,2,True
132,0,avtomobilizem,lastnistvo stranka,16,lastnistvo,stranka,0.0017,2,True
133,0,avtomobilizem,lastnistvo avtomobil,16,lastnistvo,avtomobil,0.00527,2,True
134,0,avtomobilizem,avtomobil model,16,avtomobil,model,0.01373,2,True
135,0,avtomobilizem,avtomobil drzava,16,avtomobil,drzava,0.0195,2,True
136,0,avtomobilizem,avtomobil stranka,16,avtomobil,stranka,0.12951,2,True
137,0,avtomobilizem,model drzava,16,model,drzava,0.23341,2,True
138,0,avtomobilizem,lastnistvo stranka,20,lastnistvo,stranka,0.00102,3,True
139,0,avtomobilizem,lastnistvo avtomobil,20,lastnistvo,avtomobil,0.0041,3,True
140,0,avtomobilizem,avtomobil stranka,20,avtomobil,stranka,0.10194,3,True
141,0,avtomobilizem,avtomobil model,20,avtomobil,model,0.14127,3,True
142,0,avtomobilizem,avtomobil drzava,20,avtomobil,drzava,0.14955,3,True
143,0,avtomobilizem,model drzava,20,model,drzava,28.04972,3,True
144,0,avtomobilizem,lastnistvo stranka,34,lastnistvo,stranka,0.00026,2,True
145,0,avtomobilizem,lastnistvo avtomobil,34,lastnistvo,avtomobil,0.00524,2,True
146,0,avtomobilizem,avtomobil drzava,34,avtomobil,drzava,0.0117,2,True
147,0,avtomobilizem,avtomobil model,34,avtomobil,model,0.0129,2,True
148,0,avtomobilizem,avtomobil stranka,34,avtomobil,stranka,0.129,2,True
149,0,avtomobilizem,model drzava,34,model,drzava,0.21711,2,True
150,0,avtomobilizem,lastnistvo stranka,49,lastnistvo,stranka,0.00219,2,True
151,0,avtomobilizem,lastnistvo avtomobil,49,lastnistvo,avtomobil,0.00494,2,True
152,0,avtomobilizem,avtomobil stranka,49,avtomobil,stranka,0.12511,2,True
153,0,avtomobilizem,avtomobil drzava,49,avtomobil,drzava,0.49548,2,True
154,0,avtomobilizem,avtomobil model,49,avtomobil,model,4.21908,2,True
155,0,avtomobilizem,model drzava,49,model,drzava,48832.24737,2,True
156,0,avtomobilizem,lastnistvo stranka,20,lastnistvo,stranka,0.0004,1,True
157,0,avtomobilizem,lastnistvo avtomobil,20,lastnistvo,avtomobil,0.00524,1,True
158,0,avtomobilizem,avtomobil model,20,avtomobil,model,0.01372,1,True
159,0,avtomobilizem,avtomobil drzava,20,avtomobil,drzava,0.01648,1,True
160,0,avtomobilizem,avtomobil stranka,20,avtomobil,stranka,0.12895,1,True
